Wavenumber (cm^-1),Absorption,,
3098.9,6.56E-22,,
3098.9,6.74E-22,,
3098.8,7.17E-22,,
3098.8,7.44E-22,,
3098.7,7.75E-22,,
3098.6,8.31E-22,,
3098.6,8.58E-22,,
3098.5,9.29E-22,,
3098.5,8.72E-22,,
3098.4,7.55E-22,,
3098.3,7.30E-22,,
3098.3,6.99E-22,,
3098.2,6.55E-22,,
3098.2,6.46E-22,,
3098.1,6.54E-22,,
3098,6.70E-22,,
3098,6.88E-22,,
3097.9,7.27E-22,,
3097.9,7.45E-22,,
3097.8,7.71E-22,,
3097.7,8.10E-22,,
3097.7,8.94E-22,,
3097.6,9.28E-22,,
3097.6,9.16E-22,,
3097.5,9.15E-22,,
3097.4,9.49E-22,,
3097.4,9.93E-22,,
3097.3,1.05E-21,,
3097.2,1.10E-21,,
3097.2,1.15E-21,,
3097.1,1.21E-21,,
3097.1,1.29E-21,,
3097,1.38E-21,,
3096.9,1.44E-21,,
3096.9,1.53E-21,,
3096.8,1.64E-21,,
3096.8,1.80E-21,,
3096.7,2.13E-21,,
3096.6,2.80E-21,,
3096.6,2.77E-21,,
3096.5,2.51E-21,,
3096.5,2.67E-21,,
3096.4,2.95E-21,,
3096.3,3.50E-21,,
3096.3,4.26E-21,,
3096.2,4.72E-21,,
3096.2,4.84E-21,,
3096.1,5.38E-21,,
3096,6.18E-21,,
3096,7.03E-21,,
3095.9,8.03E-21,,
3095.9,9.61E-21,,
3095.8,1.20E-20,,
3095.7,1.59E-20,,
3095.7,2.28E-20,,
3095.6,3.07E-20,,
3095.6,4.16E-20,,
3095.5,6.90E-20,,
3095.4,1.42E-19,,
3095.4,3.18E-19,,
3095.3,3.56E-19,,
3095.3,2.96E-19,,
3095.2,4.32E-19,,
3095.1,6.04E-19,,
3095.1,5.27E-19,,
3095,2.49E-19,,
3095,1.07E-19,,
3094.9,5.64E-20,,
3094.8,3.49E-20,,
3094.8,2.40E-20,,
3094.7,1.78E-20,,
3094.7,1.40E-20,,
3094.6,1.13E-20,,
3094.5,9.48E-21,,
3094.5,8.11E-21,,
3094.4,7.08E-21,,
3094.4,6.28E-21,,
3094.3,5.64E-21,,
3094.2,5.40E-21,,
3094.2,5.45E-21,,
3094.1,5.34E-21,,
3094.1,4.38E-21,,
3094,3.48E-21,,
3093.9,3.01E-21,,
3093.9,2.69E-21,,
3093.8,2.51E-21,,
3093.8,2.34E-21,,
3093.7,2.11E-21,,
3093.6,1.93E-21,,
3093.6,1.82E-21,,
3093.5,1.80E-21,,
3093.5,1.84E-21,,
3093.4,1.72E-21,,
3093.3,1.57E-21,,
3093.3,1.55E-21,,
3093.2,1.59E-21,,
3093.2,1.56E-21,,
3093.1,1.37E-21,,
3093,1.24E-21,,
3093,1.21E-21,,
3092.9,1.32E-21,,
3092.9,1.41E-21,,
3092.8,1.29E-21,,
3092.7,1.14E-21,,
3092.7,1.07E-21,,
3092.6,1.02E-21,,
3092.5,9.87E-22,,
3092.5,1.03E-21,,
3092.4,1.26E-21,,
3092.4,1.51E-21,,
3092.3,1.23E-21,,
3092.2,9.48E-22,,
3092.2,8.57E-22,,
3092.1,8.37E-22,,
3092.1,8.84E-22,,
3092,1.01E-21,,
3091.9,9.76E-22,,
3091.9,8.03E-22,,
3091.8,7.38E-22,,
3091.8,7.10E-22,,
3091.7,6.99E-22,,
3091.6,6.97E-22,,
3091.6,7.40E-22,,
3091.5,9.06E-22,,
3091.5,1.24E-21,,
3091.4,1.27E-21,,
3091.3,9.81E-22,,
3091.3,8.29E-22,,
3091.2,7.51E-22,,
3091.2,7.04E-22,,
3091.1,6.88E-22,,
3091,6.48E-22,,
3091,6.22E-22,,
3090.9,6.14E-22,,
3090.9,6.20E-22,,
3090.8,6.33E-22,,
3090.7,6.47E-22,,
3090.7,6.48E-22,,
3090.6,6.58E-22,,
3090.6,6.78E-22,,
3090.5,7.15E-22,,
3090.4,7.70E-22,,
3090.4,8.36E-22,,
3090.3,9.34E-22,,
3090.3,1.09E-21,,
3090.2,1.32E-21,,
